HOUSEHOLD_ID,IN_TPB,IN_BMC,HOME_STATE_FIPS,HOME_STATE_PUMA,AREA_TYPE,HOME_STATE_COUNTY_FIPS,HOME_TRACT_FIPS,HOME_TPB_TAZ,HOME_BMC_TAZ,HOME_TYPE,MPO_HOME_TYPE,HOME_OWNERSHIP,MPO_HOME_OWNERSHIP,HHSIZE,NUMSTUDENTS,NUMDRIVERS,NUMWORKERS,NUMDISABILITIES,NUMVEHICLE,NUMVEHICLE_TRANSPONDER,NUMBICYCLE,HH_INCOME_DETAILED,MPO_HH_INCOME_DETAILED,HH_INCOME_BROAD,MPO_HH_INCOME_BROAD,TDATE_STRING,TDATE_DOW,HHTRIPS,PACKAGE_DELIVERED,FOOD_DELIVERED,SERVICE_DELIVERED,WTHHFIN,HOME_OWNERSHIP_IMP,HH_INCOME_DETAILED_IMP,NUMDISABILITIES_IMP
180169526,1,1,11,11_00102,0,11001,009505,247,1646,3,5,2,2,1,0,0,1,1,0,0,0,4,5,1,1,2018-07-11,3,7,0,0,0,178,0,0,0
180169527,1,0,24,24_01600,0,24017,851500,3191,-9,3,3,2,2,4,3,2,1,0,2,0,0,7,8,2,2,2018-06-13,3,22,0,0,0,335,0,0,0
180169536,1,1,24,24_01107,1,24033,802501,854,2254,1,1,1,1,2,0,2,1,0,1,1,0,5,6,2,2,2018-05-03,4,9,0,0,0,50,0,0,0
180169560,1,1,24,24_01101,0,24033,807305,923,2323,1,1,1,1,2,1,2,2,0,2,1,0,6,7,2,2,2018-06-08,5,11,0,0,0,122,0,1,0
180169597,1,1,24,24_01203,13,24003,731303,3067,460,1,-9,1,-9,2,0,2,2,0,3,2,2,7,-9,2,-9,2018-04-26,4,4,1,0,0,210.35567232,0,1,0
180169629,1,0,51,51_51115,0,51179,010304,3538,-9,3,3,2,2,1,0,1,1,0,1,1,1,5,6,2,2,2018-04-11,3,6,0,0,0,206,0,1,0
180169641,1,1,24,24_01202,11,24003,750804,3034,364,1,-9,1,-9,5,0,3,4,1,4,0,0,5,-9,2,-9,2018-05-03,4,10,0,0,0,109.1898028,0,0,0
180169656,1,0,51,51_51245,1,51683,910202,2631,-9,2,2,1,1,1,0,1,1,0,1,0,0,6,7,2,2,2018-04-24,2,3,0,0,0,42,0,0,0
180169675,1,1,24,24_01105,0,24033,800606,1275,2675,2,2,1,1,1,0,1,1,0,1,1,0,4,5,1,1,2018-09-10,1,2,0,0,0,157,0,0,0
180169692,1,1,24,24_01004,1,24031,701215,684,2084,3,4,2,2,2,1,1,1,0,1,0,1,5,6,2,2,2018-10-02,2,4,0,0,0,83,0,0,0
180169715,1,0,24,24_01500,0,24037,875500,3373,-9,1,1,1,1,2,0,2,2,0,3,3,0,8,9,2,2,2018-07-16,1,6,0,0,0,116,0,0,0
180169726,1,0,51,51_51245,0,51153,901231,2642,-9,1,1,1,1,4,2,2,2,0,2,1,2,5,6,2,2,2018-01-25,4,18,1,0,0,359,0,1,0
180169750,1,1,24,24_01004,0,24031,706013,653,2053,1,1,1,1,1,0,1,1,0,1,0,0,3,4,1,1,2018-03-07,3,2,0,0,0,235,0,1,1
180169816,1,1,24,24_01004,0,24031,705901,657,2057,1,1,1,1,1,0,1,1,0,1,1,2,8,10,2,2,2018-10-24,3,4,1,0,1,235,0,0,0
180169838,1,0,51,51_59302,0,51059,415600,2071,-9,1,1,1,1,4,2,2,2,1,2,2,2,8,10,2,2,2018-02-07,3,8,1,1,1,276,0,0,0
180169839,1,1,24,24_00302,1,24021,772200,2917,2902,3,5,1,1,2,0,2,2,0,2,2,0,8,10,2,2,2018-02-01,4,8,1,0,0,59,0,0,0
180169853,1,0,51,51_51245,1,51683,910100,2630,-9,1,1,1,1,4,0,2,1,0,2,2,0,5,6,2,2,2018-02-07,3,12,0,0,0,162,0,0,0
180169856,1,0,51,51_51246,0,51153,901008,2788,-9,3,4,2,2,4,3,2,2,0,3,1,0,7,8,2,2,2018-09-14,5,23,0,0,0,793,0,0,0
180169858,1,1,24,24_01105,0,24033,803526,1247,2647,1,1,1,1,3,1,2,0,0,1,0,0,6,7,2,2,2018-01-22,1,9,0,0,1,305,0,0,0
180169912,1,0,51,51_51087,1,51061,930303,3620,-9,1,1,1,1,2,0,2,0,1,1,0,0,5,6,2,2,2018-02-12,1,0,0,0,1,97,0,1,0
180169917,1,0,51,51_01301,5,51013,101403,1415,-9,3,5,2,2,2,0,2,1,0,2,2,0,7,8,2,2,2018-04-19,4,2,0,0,0,68,0,0,0
180169932,1,1,24,24_01102,0,24033,807408,898,2298,1,1,1,1,4,2,2,2,0,2,1,2,5,6,2,2,2018-02-21,3,14,1,0,0,401,0,0,0
180169943,1,0,51,51_59305,0,51059,460800,1821,-9,1,1,1,1,2,0,2,1,0,2,0,2,7,8,2,2,2018-10-09,2,13,0,0,0,164,1,1,1
180169959,1,1,24,24_01005,0,24031,703215,540,1940,3,3,2,2,1,0,1,1,0,1,1,0,6,7,2,2,2018-03-15,4,5,0,0,0,236,0,0,0
180170003,1,1,11,11_00104,1,11001,007803,257,1656,3,3,2,2,1,0,1,1,0,0,0,0,4,5,1,1,2018-04-09,1,3,0,0,0,99,0,0,0
180170007,1,0,51,51_01302,3,51013,103200,1525,-9,3,5,2,2,1,0,1,1,0,1,1,0,8,9,2,2,2018-11-05,1,8,0,0,0,40,0,0,0
180170018,1,1,24,24_01004,0,24031,705702,646,2046,3,4,1,1,2,0,1,0,1,1,0,0,4,5,1,1,2018-08-27,1,2,0,0,0,236,0,1,0
180170076,1,0,51,51_51245,1,51683,910402,2628,-9,1,1,1,1,2,1,2,2,0,2,2,1,7,8,2,2,2018-01-22,1,12,0,0,0,37,0,0,0
